3,1,1351.24,345.00,39.00,119.00,1,-1,-1,-1
3,2,909.96,309.61,84.69,255.95,1,-1,-1,-1
4,1,1353.19,345.00,39.00,119.00,1,-1,-1,-1
4,2,908.12,299.27,94.32,285.05,1,-1,-1,-1
5,1,1359.57,345.00,39.00,119.00,1,-1,-1,-1
5,2,916.52,307.97,92.75,280.31,1,-1,-1,-1
6,1,1367.31,339.27,39.00,119.00,1,-1,-1,-1
6,2,924.66,308.96,87.57,264.66,1,-1,-1,-1
7,1,1369.83,337.29,39.00,119.00,1,-1,-1,-1
7,2,927.38,309.36,85.62,258.77,1,-1,-1,-1
8,1,1370.52,336.64,39.00,119.00,1,-1,-1,-1
8,2,928.16,309.51,84.95,256.75,1,-1,-1,-1
9,1,1370.60,336.47,39.00,119.00,1,-1,-1,-1
9,2,923.45,299.51,88.94,268.79,1,-1,-1,-1
10,1,1375.89,336.46,39.00,119.00,1,-1,-1,-1
10,2,921.70,295.96,90.36,273.10,1,-1,-1,-1
11,1,1374.97,335.43,40.90,124.79,1,-1,-1,-1
11,2,920.95,294.68,90.89,274.69,1,-1,-1,-1
12,1,1377.24,336.12,39.74,121.26,1,-1,-1,-1
12,2,920.62,294.29,91.07,275.23,1,-1,-1,-1
13,1,1372.60,341.82,39.27,119.83,1,-1,-1,-1
13,2,925.12,303.91,87.05,263.11,1,-1,-1,-1
13,9,1226.70,279.58,138.29,416.86,1,-1,-1,-1
14,1,1370.78,343.95,39.10,119.29,1,-1,-1,-1
14,2,922.04,297.82,89.62,270.87,1,-1,-1,-1
14,9,1226.70,279.58,138.29,416.86,1,-1,-1,-1
15,1,1366.92,344.06,40.92,124.83,1,-1,-1,-1
15,2,914.24,305.27,86.52,261.49,1,-1,-1,-1
15,9,1223.66,284.99,131.44,396.22,1,-1,-1,-1
16,1,1363.31,349.98,39.74,121.25,1,-1,-1,-1
16,2,911.19,308.20,85.30,257.82,1,-1,-1,-1
16,9,1222.81,286.49,129.53,390.47,1,-1,-1,-1
17,1,1361.84,352.29,39.27,119.81,1,-1,-1,-1
17,2,904.55,311.82,88.95,268.86,1,-1,-1,-1
17,9,1222.49,309.18,128.80,388.26,1,-1,-1,-1
18,1,1361.29,347.79,39.09,119.26,1,-1,-1,-1
18,2,907.55,310.65,86.29,260.81,1,-1,-1,-1
18,9,1221.74,314.90,127.12,383.21,1,-1,-1,-1
19,1,1355.77,346.08,39.03,119.06,1,-1,-1,-1
19,2,908.80,310.16,85.23,257.63,1,-1,-1,-1
20,1,1348.40,345.42,39.00,118.99,1,-1,-1,-1
20,2,909.30,309.96,84.84,256.46,1,-1,-1,-1
20,9,1201.30,284.84,136.65,411.94,1,-1,-1,-1
21,1,1345.66,345.17,38.99,118.97,1,-1,-1,-1
21,2,909.50,309.87,84.71,256.06,1,-1,-1,-1
21,9,1197.00,286.19,131.52,396.47,1,-1,-1,-1
22,1,1346.09,338.70,40.86,124.67,1,-1,-1,-1
22,2,904.11,300.12,88.73,268.20,1,-1,-1,-1
22,9,1213.40,307.64,118.27,356.56,1,-1,-1,-1
23,1,1344.91,342.55,39.72,121.19,1,-1,-1,-1
23,2,902.13,296.52,90.22,272.70,1,-1,-1,-1
23,9,1213.22,314.51,119.06,358.96,1,-1,-1,-1
23,14,369.12,326.91,39.61,120.59,1,-1,-1,-1
24,1,1344.52,344.11,39.26,119.78,1,-1,-1,-1
